Date;Material;Communication_Services;Energy;Financial;Industrial;Technology;Consumer_Staples;Real_State;Utilities;Health_Care;Consumer_Discretionary
2000-03-01;119700;16600,0;880600;1578634;2408000;963500;295500;2000,0;46100;26700;345700
2000-03-02;184000;16600,0;392700;600359;421400;1097600;1447500;2000,0;105600;47600;208600
2000-03-03;162400;16600,0;611700;418417;41200;401600;220900;2000,0;45600;372700;208000
2000-03-06;20900;16600,0;279800;1878260;292100;667500;315100;2000,0;79200;316300;600200
2000-03-07;198400;16600,0;499500;1253281;50300;1304800;224100;2000,0;81900;635200;6300
2000-03-08;112600;16600,0;1089400;649229;350700;1089600;309900;2000,0;24900;184000;172200
2000-03-09;112400;16600,0;358400;385180;30400;285900;1267300;2000,0;156700;15400;306400
2000-03-10;27700;16600,0;663100;183419;114200;265000;1967700;2000,0;22600;165300;440300
2000-03-13;47000;16600,0;350600;411646;86600;2011200;1061900;2000,0;186200;64200;442900
2000-03-14;16400;16600,0;360400;286208;38600;464200;552800;2000,0;170000;36200;229300
2000-03-15;444600;16600,0;419500;1206626;121300;619300;1582200;2000,0;213500;42200;721800
2000-03-16;233900;16600,0;566300;2141694;281000;2726600;580200;2000,0;53000;168500;151400
2000-03-17;65200;16600,0;149800;1075771;34400;441000;116000;2000,0;62800;62000;24300
2000-03-20;27500;16600,0;237500;422233;129700;395400;563400;2000,0;61300;8200;81100
2000-03-21;44900;16600,0;176500;932359;11100;649200;32600;2000,0;89700;18100;157200
2000-03-22;120400;16600,0;41900;830679;69100;668500;132900;2000,0;48500;29900;133300
2000-03-23;31700;16600,0;41500;724567;19200;484100;126400;2000,0;7100;24900;9000
2000-03-24;12000;16600,0;161400;660185;6200;1103100;231100;2000,0;24300;9200;19600
2000-03-27;39900;16600,0;219100;316613;10300;783100;52200;2000,0;33000;14400;14000
2000-03-28;114000;16600,0;69300;371516;8900;625600;71600;2000,0;17600;13700;20800
2000-03-29;27500;16600,0;232800;237091;5200;3331900;36200;2000,0;12900;6800;12300
2000-03-30;103600;16600,0;177900;511727;9300;4635800;62200;2000,0;33600;14000;22500
2000-03-31;152600;16600,0;627900;1533826;23400;319600;439800;2000,0;59400;14400;374600
2000-04-03;114700;16600,0;140700;539917;39400;2645000;76600;2000,0;80900;11200;41000
2000-04-04;185500;16600,0;414600;1568048;220700;2211500;823600;2000,0;64500;7600;71000
2000-04-05;32500;16600,0;51300;346403;7600;600200;38800;2000,0;11000;7100;12000
2000-04-06;22600;16600,0;38000;343080;23000;173000;55100;2000,0;129200;29000;13600
2000-04-07;43700;16600,0;255400;783408;136600;233000;169700;2000,0;169700;6000;55700
2000-04-10;42600;16600,0;27000;179111;21100;665100;55200;2000,0;26600;16000;15800
2000-04-11;393100;16600,0;487900;162861;313700;1479200;60900;2000,0;28300;10100;46100
2000-04-12;240800;16600,0;242200;1093128;157700;1338100;76500;2000,0;76000;13100;107000
2000-04-13;613200;16600,0;440800;790425;590800;2182100;506700;2000,0;25000;17500;37400
2000-04-14;145200;16600,0;1849100;1045242;19600;1908000;62900;2000,0;138300;9800;117600
2000-04-17;52800;16600,0;216100;498309;20200;905400;139500;2000,0;117800;16900;140600
2000-04-18;24000;16600,0;79600;909586;10700;573200;129000;2000,0;47600;50900;52100
2000-04-19;27500;16600,0;377800;218626;13700;355300;39500;2000,0;7200;7200;8400
2000-04-20;139000;16600,0;235600;175048;2900;241400;14300;2000,0;8000;4000;14300
2000-04-24;19900;16600,0;22000;196468;8900;611100;75300;2000,0;16700;18000;12300
2000-04-25;231900;16600,0;430800;252724;13100;357900;51400;2000,0;18300;3600;25600
2000-04-26;29900;16600,0;429500;938761;515300;1462000;39100;2000,0;23400;15500;11900
2000-04-27;64400;16600,0;27500;170247;6500;481700;27900;2000,0;11100;5200;3300
2000-04-28;31200;16600,0;53000;436143;9600;646500;56400;2000,0;9700;4900;4300
2000-05-01;21100;16600,0;34700;117068;2000;195800;21200;2000,0;27500;3500;6700
2000-05-02;27200;16600,0;148000;179480;187400;682600;19000;2000,0;24200;3800;65300
2000-05-03;89400;16600,0;79100;425311;52900;766600;309800;2000,0;183600;10600;167300
2000-05-04;100300;16600,0;44000;180834;29200;178600;30600;2000,0;28000;18600;22800
2000-05-05;10300;16600,0;35600;74476;7200;300000;11600;2000,0;14900;4700;15100
2000-05-08;276500;16600,0;83000;49240;4000;155400;277200;2000,0;32300;5800;54600
2000-05-09;1078200;16600,0;122400;701424;10400;1236200;975200;2000,0;10300;6200;17900
2000-05-10;46200;16600,0;353700;348373;2100;1019800;87000;2000,0;38200;9100;63000
2000-05-11;32700;16600,0;130800;293840;2200;431200;28800;2000,0;47900;3800;18100
2000-05-12;14000;16600,0;45100;611192;4100;221500;26400;2000,0;12000;5100;3000
2000-05-15;41500;16600,0;1278300;493262;9700;157600;188200;2000,0;919300;8000;26700
2000-05-16;1223000;16600,0;930400;217272;10500;408000;1201000;2000,0;906400;11200;7700
2000-05-17;14000;16600,0;45600;118053;4900;368600;19000;2000,0;6600;6600;9500
2000-05-18;210200;16600,0;889700;283992;500;206800;12100;2000,0;12000;2200;1600
2000-05-19;22200;16600,0;71400;182311;3900;777500;17800;2000,0;7400;5500;1900
2000-05-22;51800;16600,0;108400;179849;5500;452600;41400;2000,0;14800;47300;8500
2000-05-23;52800;16600,0;140300;203731;800;334300;17700;2000,0;15100;6600;20000
2000-05-24;44700;16600,0;64800;332616;3800;713600;24700;2000,0;14700;7800;3900
2000-05-25;39700;16600,0;331800;532777;51700;606100;85400;2000,0;25000;112100;21000
2000-05-26;28000;16600,0;34600;644675;8900;143500;35500;2000,0;114600;139600;40300
2000-05-30;11600;16600,0;62400;315382;157200;821100;161300;2000,0;28400;52200;92000
2000-05-31;15400;16600,0;114700;152029;2000;252800;84900;2000,0;9300;41100;28000
2000-06-01;14000;16600,0;41300;581032;1500;540200;96400;2000,0;6800;19300;1500
2000-06-02;29000;16600,0;49600;1362348;86800;858100;1366300;2000,0;50800;26900;23700
2000-06-05;31600;16600,0;1123300;214194;4500;391900;30800;2000,0;16800;8100;1200
2000-06-06;8300;16600,0;65700;292732;204700;447200;32000;2000,0;46200;22800;5600
