Fecha,Communication_Services
23/03/2018,"147,07"
26/03/2018,"148,42"
27/03/2018,"149,19"
28/03/2018,"151,64"
29/03/2018,"151,65"
02/04/2018,"149,46"
03/04/2018,"150,61"
04/04/2018,"152,55"
05/04/2018,"153,63"
06/04/2018,"151,38"
09/04/2018,"149,61"
10/04/2018,"153,07"
11/04/2018,"150,79"
12/04/2018,"150,75"
13/04/2018,"150,53"
16/04/2018,"152,77"
17/04/2018,"152,92"
18/04/2018,"152,24"
19/04/2018,"151,04"
20/04/2018,"150,05"
23/04/2018,"151,67"
24/04/2018,"153,44"
25/04/2018,"154,68"
26/04/2018,"149,68"
27/04/2018,"152,3"
30/04/2018,"148,24"
01/05/2018,"147,1"
02/05/2018,"144,51"
03/05/2018,"144,24"
04/05/2018,"145,32"
07/05/2018,"144,44"
08/05/2018,"142,56"
09/05/2018,"140,95"
10/05/2018,"143,64"
11/05/2018,"146,65"
14/05/2018,"146,12"
15/05/2018,"144,94"
16/05/2018,"145,45"
17/05/2018,"144,64"
18/05/2018,"144,75"
21/05/2018,"146,91"
22/05/2018,"147,12"
23/05/2018,"146,49"
24/05/2018,"147,36"
25/05/2018,"146,49"
29/05/2018,"145,66"
30/05/2018,"146,78"
31/05/2018,"144,87"
01/06/2018,"145,23"
04/06/2018,"145,08"
05/06/2018,"145,81"
06/06/2018,"148,01"
07/06/2018,"149,81"
08/06/2018,"150,11"
11/06/2018,"151,11"
12/06/2018,"150,8"
13/06/2018,"144,03"
14/06/2018,"145,44"
15/06/2018,"147,15"
18/06/2018,"144,25"
19/06/2018,"146,3"
20/06/2018,"144,88"
21/06/2018,"144,62"
22/06/2018,"146,39"
25/06/2018,"146,28"
26/06/2018,"145,66"
27/06/2018,"145,71"
28/06/2018,"149,05"
29/06/2018,"148,12"
02/07/2018,"148,46"
03/07/2018,"150,19"
05/07/2018,"150,79"
06/07/2018,"151,33"
09/07/2018,"149,18"
10/07/2018,"150,87"
11/07/2018,"149,29"
12/07/2018,"150,07"
13/07/2018,"148,94"
16/07/2018,"149,64"
17/07/2018,"149,1"
18/07/2018,"148,56"
19/07/2018,"146,92"
20/07/2018,"146,2"
23/07/2018,"146,16"
24/07/2018,"148,73"
25/07/2018,"144,44"
26/07/2018,"145,07"
27/07/2018,"147,88"
30/07/2018,"150,76"
31/07/2018,"149,6"
01/08/2018,"149,49"
02/08/2018,"149,76"
03/08/2018,"151,16"
06/08/2018,"151,03"
07/08/2018,"151,66"
08/08/2018,"151,85"
09/08/2018,"153,34"
10/08/2018,"152,21"
13/08/2018,"151,92"
14/08/2018,"153,01"
15/08/2018,"154,07"
16/08/2018,"157,17"
17/08/2018,"157,77"
20/08/2018,"157,89"
21/08/2018,"158,96"
22/08/2018,"155,75"
23/08/2018,"155,61"
24/08/2018,"156,61"
27/08/2018,"157,19"
28/08/2018,"156,43"
29/08/2018,"155,24"
30/08/2018,"154,64"
31/08/2018,"153,99"
04/09/2018,"152,27"
05/09/2018,"153,53"
06/09/2018,"154,65"
07/09/2018,"154,1"
10/09/2018,"154,85"
11/09/2018,"156,53"
12/09/2018,"158,75"
13/09/2018,"159,23"
14/09/2018,"158,55"
17/09/2018,"158,81"
18/09/2018,"158,75"
19/09/2018,"156,61"
20/09/2018,"157,32"
21/09/2018,"158,86"
24/09/2018,"159,19"
25/09/2018,"159,33"
26/09/2018,"159,9"
27/09/2018,"161,18"
28/09/2018,"160,55"
01/10/2018,"160,38"
02/10/2018,"160,55"
03/10/2018,"160,99"
04/10/2018,"158,61"
05/10/2018,"156,96"
08/10/2018,"156,73"
09/10/2018,"156,45"
10/10/2018,"150,28"
11/10/2018,"149,02"
12/10/2018,"152,11"
15/10/2018,"151,46"
16/10/2018,"155,01"
17/10/2018,"155,81"
18/10/2018,"152,94"
19/10/2018,"153,2"
22/10/2018,"153,14"
23/10/2018,"153,76"
24/10/2018,"146,26"
25/10/2018,"150,16"
26/10/2018,"146,55"
29/10/2018,"144,19"
30/10/2018,"147,78"
31/10/2018,"150,88"
01/11/2018,"151,09"
02/11/2018,"149,86"
05/11/2018,"149,39"
06/11/2018,"150,29"
07/11/2018,"153,2"
08/11/2018,"151,77"
09/11/2018,"149,57"
12/11/2018,"147,36"
13/11/2018,"146,97"
14/11/2018,"147,64"
15/11/2018,"148,56"
16/11/2018,"147,98"
19/11/2018,"144,14"
20/11/2018,"142,33"
21/11/2018,"143,75"
23/11/2018,"142,03"
26/11/2018,"144,77"
27/11/2018,"145,59"
28/11/2018,"148,68"
29/11/2018,"149,21"
30/11/2018,"149,86"
03/12/2018,"149,98"
04/12/2018,"145,26"
06/12/2018,"146,77"
07/12/2018,"143,7"
10/12/2018,"144,78"
11/12/2018,"144,99"
12/12/2018,"146,18"
13/12/2018,"145,92"
14/12/2018,"144,43"
17/12/2018,"141,68"
18/12/2018,"142,55"
19/12/2018,"140,11"
20/12/2018,"137,82"
21/12/2018,"133,59"
24/12/2018,"130,86"
26/12/2018,"137,92"
27/12/2018,"138,65"
28/12/2018,"138,39"
31/12/2018,"138,78"
02/01/2019,"140,52"
03/01/2019,"138,48"
04/01/2019,"144,11"
07/01/2019,"145,21"
08/01/2019,"147,51"
09/01/2019,"146,98"
10/01/2019,"147,27"
11/01/2019,"147,07"
14/01/2019,"146,47"
15/01/2019,"149,02"
16/01/2019,"148,42"
17/01/2019,"148,98"
18/01/2019,"149,76"
22/01/2019,"146,83"
23/01/2019,"147,19"
24/01/2019,"147,23"
25/01/2019,"148,72"
28/01/2019,"147,02"
29/01/2019,"145,46"
30/01/2019,"147,25"
31/01/2019,"152,75"
01/02/2019,"152,23"
04/02/2019,"153,68"
05/02/2019,"155,08"
06/02/2019,"152,77"
07/02/2019,"151,2"
08/02/2019,"151,73"
11/02/2019,"150,78"
12/02/2019,"152,5"
13/02/2019,"152,34"
14/02/2019,"152,67"
15/02/2019,"153,28"
19/02/2019,"153,75"
20/02/2019,"153,65"
21/02/2019,"152,68"
22/02/2019,"154,28"
25/02/2019,"154,41"
26/02/2019,"154,61"
27/02/2019,"154,01"
28/02/2019,154
01/03/2019,"155,2"
04/03/2019,"155,24"
05/03/2019,"156,37"
06/03/2019,"156,35"
07/03/2019,"155,08"
08/03/2019,"154,99"
11/03/2019,"157,88"
12/03/2019,"158,77"
13/03/2019,"159,17"
14/03/2019,"158,54"
15/03/2019,"158,56"
18/03/2019,"157,29"
19/03/2019,"157,25"
20/03/2019,"159,08"
21/03/2019,"160,5"
22/03/2019,"158,47"
25/03/2019,"158,17"
26/03/2019,"158,88"
27/03/2019,"158,02"
28/03/2019,"157,23"
29/03/2019,"157,68"
01/04/2019,"159,97"
02/04/2019,"160,61"
03/04/2019,"161,2"
04/04/2019,"162,27"
05/04/2019,"162,33"
08/04/2019,"162,08"
09/04/2019,"162,12"
10/04/2019,"162,61"
11/04/2019,"162,85"
12/04/2019,"164,85"
15/04/2019,"165,14"
16/04/2019,"165,49"
17/04/2019,"165,74"
18/04/2019,"165,97"
22/04/2019,"167,17"
23/04/2019,"168,6"
24/04/2019,"167,34"
25/04/2019,"169,15"
26/04/2019,"170,44"
29/04/2019,"171,89"
30/04/2019,"167,49"
01/05/2019,"166,37"
02/05/2019,"165,53"
03/05/2019,"167,45"
06/05/2019,"167,14"
07/05/2019,"164,87"
08/05/2019,"164,28"
09/05/2019,"163,98"
10/05/2019,"164,33"
13/05/2019,"160,19"
14/05/2019,"160,58"
15/05/2019,"163,97"
16/05/2019,"165,55"
17/05/2019,"164,76"
20/05/2019,"162,83"
21/05/2019,"164,39"
22/05/2019,"164,44"
23/05/2019,"162,37"
24/05/2019,"162,38"
28/05/2019,"162,65"
29/05/2019,"160,85"
30/05/2019,"160,81"
31/05/2019,"157,52"
03/06/2019,"153,13"
04/06/2019,"155,8"
05/06/2019,"155,99"
06/06/2019,"156,67"
07/06/2019,"158,98"
10/06/2019,"158,75"
11/06/2019,"159,21"
12/06/2019,"158,76"
13/06/2019,"160,57"
14/06/2019,"161,19"
17/06/2019,"162,9"
18/06/2019,"163,57"
19/06/2019,"163,87"
20/06/2019,"164,91"
21/06/2019,"165,57"
24/06/2019,"165,75"
25/06/2019,"163,1"
26/06/2019,"162,26"
27/06/2019,"162,96"
28/06/2019,"164,23"
01/07/2019,"165,46"
02/07/2019,"167,22"
03/07/2019,"168,41"
05/07/2019,"168,73"
08/07/2019,"167,22"
09/07/2019,"167,69"
10/07/2019,"169,81"
11/07/2019,"169,66"
12/07/2019,"170,73"
15/07/2019,"170,84"
16/07/2019,"170,73"
17/07/2019,"169,22"
18/07/2019,"167,72"
19/07/2019,"165,51"
22/07/2019,"165,77"
23/07/2019,"166,27"
24/07/2019,"167,74"
25/07/2019,"167,61"
26/07/2019,"173,05"
29/07/2019,"172,23"
30/07/2019,"171,08"
31/07/2019,"169,18"
01/08/2019,"168,35"
02/08/2019,"167,01"
05/08/2019,"162,14"
06/08/2019,"164,33"
07/08/2019,"163,64"
08/08/2019,"167,28"
09/08/2019,"165,94"
12/08/2019,"164,32"
13/08/2019,"166,78"
14/08/2019,"161,67"
15/08/2019,"162,44"
16/08/2019,"164,35"
19/08/2019,"166,64"
20/08/2019,"164,99"
21/08/2019,"165,64"
22/08/2019,"165,36"
23/08/2019,"161,06"
26/08/2019,"163,52"
27/08/2019,"163,68"
28/08/2019,"164,51"
29/08/2019,"166,71"
30/08/2019,"166,58"
03/09/2019,"164,87"
04/09/2019,"167,52"
05/09/2019,"170,2"
06/09/2019,"169,82"
09/09/2019,"170,2"
10/09/2019,"170,15"
11/09/2019,"171,76"
12/09/2019,"172,39"
13/09/2019,"172,31"
16/09/2019,"170,99"
17/09/2019,"171,49"
18/09/2019,"171,35"
19/09/2019,"171,45"
20/09/2019,"170,66"
23/09/2019,"169,98"
24/09/2019,"167,7"
25/09/2019,"169,58"
26/09/2019,"168,23"
27/09/2019,"166,67"
30/09/2019,"167,26"
01/10/2019,"165,56"
02/10/2019,"163,32"
03/10/2019,"164,67"
04/10/2019,"166,98"
07/10/2019,"167,05"
08/10/2019,"164,85"
09/10/2019,"165,47"
10/10/2019,"166,53"
11/10/2019,"168,26"
14/10/2019,"167,92"
15/10/2019,"170,64"
16/10/2019,"170,89"
17/10/2019,"171,98"
18/10/2019,"170,48"
21/10/2019,"171,19"
22/10/2019,"169,65"
23/10/2019,"170,73"
24/10/2019,"169,48"
