Fecha,Consumer_Discretionary
23/03/2018,"798,05"
26/03/2018,"821,28"
27/03/2018,"805,55"
28/03/2018,"795,59"
29/03/2018,"806,97"
02/04/2018,"784,11"
03/04/2018,"793,72"
04/04/2018,"808,11"
05/04/2018,"819,16"
06/04/2018,"801,62"
09/04/2018,"799,63"
10/04/2018,"809,31"
11/04/2018,"806,71"
12/04/2018,"810,32"
13/04/2018,"805,73"
16/04/2018,"811,76"
17/04/2018,"826,94"
18/04/2018,"831,02"
19/04/2018,"827,99"
20/04/2018,"819,52"
23/04/2018,"821,3"
24/04/2018,"808,32"
25/04/2018,"811,39"
26/04/2018,"824,27"
27/04/2018,"828,41"
30/04/2018,"825,31"
01/05/2018,"826,64"
02/05/2018,"820,78"
03/05/2018,"817,16"
04/05/2018,"827,84"
07/05/2018,"830,82"
08/05/2018,"827,12"
09/05/2018,"830,01"
10/05/2018,"832,93"
11/05/2018,"834,81"
14/05/2018,"836,11"
15/05/2018,"831,02"
16/05/2018,"837,94"
17/05/2018,"835,24"
18/05/2018,"834,25"
21/05/2018,"838,85"
22/05/2018,"834,83"
23/05/2018,"841,19"
24/05/2018,"842,92"
25/05/2018,"844,49"
29/05/2018,"837,77"
30/05/2018,"844,75"
31/05/2018,"840,76"
01/06/2018,"846,58"
04/06/2018,"856,18"
05/06/2018,"861,09"
06/06/2018,"869,77"
07/06/2018,"871,3"
08/06/2018,"873,51"
11/06/2018,"876,48"
12/06/2018,"880,9"
13/06/2018,"882,08"
14/06/2018,"891,01"
15/06/2018,"893,11"
18/06/2018,"891,39"
19/06/2018,"890,09"
20/06/2018,"894,32"
21/06/2018,"888,02"
22/06/2018,"886,81"
25/06/2018,"867,52"
26/06/2018,"873,46"
27/06/2018,"862,22"
28/06/2018,"868,77"
29/06/2018,"870,23"
02/07/2018,"871,65"
03/07/2018,"866,45"
05/07/2018,"871,29"
06/07/2018,"878,01"
09/07/2018,"888,27"
10/07/2018,"890,26"
11/07/2018,"888,23"
12/07/2018,"894,21"
13/07/2018,"896,45"
16/07/2018,"898,17"
17/07/2018,"899,06"
18/07/2018,"898,35"
19/07/2018,"896,45"
20/07/2018,"892,43"
23/07/2018,"891,51"
24/07/2018,"889,02"
25/07/2018,"895,18"
26/07/2018,"890,68"
27/07/2018,"888,25"
30/07/2018,"881,28"
31/07/2018,"885,15"
01/08/2018,"881,23"
02/08/2018,"886,78"
03/08/2018,"889,73"
06/08/2018,"895,72"
07/08/2018,"899,7"
08/08/2018,"900,79"
09/08/2018,"904,24"
10/08/2018,"896,78"
13/08/2018,"892,17"
14/08/2018,"900,68"
15/08/2018,"889,71"
16/08/2018,"893,72"
17/08/2018,"894,78"
20/08/2018,"900,29"
21/08/2018,"908,3"
22/08/2018,"909,36"
23/08/2018,"907,67"
24/08/2018,"913,06"
27/08/2018,"919,46"
28/08/2018,"921,11"
29/08/2018,"931,43"
30/08/2018,"925,79"
31/08/2018,"929,23"
04/09/2018,"931,51"
05/09/2018,"921,26"
06/09/2018,"918,19"
07/09/2018,"917,89"
10/09/2018,"921,12"
11/09/2018,"928,69"
12/09/2018,"930,72"
13/09/2018,"931,39"
14/09/2018,"928,72"
17/09/2018,"916,92"
18/09/2018,"928,58"
19/09/2018,"928,87"
20/09/2018,"935,01"
21/09/2018,"932,39"
24/09/2018,"927,08"
25/09/2018,"932,54"
26/09/2018,"934,36"
27/09/2018,"939,41"
28/09/2018,"938,23"
