Fecha,Consumer_Staples
23/03/2018,"523,4"
26/03/2018,"530,44"
27/03/2018,"530,87"
28/03/2018,"538,19"
29/03/2018,"541,73"
02/04/2018,"528,46"
03/04/2018,"535,69"
04/04/2018,"543,83"
05/04/2018,"545,55"
06/04/2018,"540,22"
09/04/2018,"539,21"
10/04/2018,541
11/04/2018,"539,84"
12/04/2018,"538,81"
13/04/2018,"541,5"
16/04/2018,"547,29"
17/04/2018,"548,54"
18/04/2018,"543,81"
19/04/2018,"526,75"
20/04/2018,"517,88"
23/04/2018,"517,08"
24/04/2018,"513,77"
25/04/2018,"514,48"
26/04/2018,"517,29"
27/04/2018,"520,27"
30/04/2018,"517,25"
01/05/2018,"512,69"
02/05/2018,"502,82"
03/05/2018,"502,63"
04/05/2018,"509,65"
07/05/2018,"506,42"
08/05/2018,"504,11"
09/05/2018,"504,92"
10/05/2018,"507,9"
11/05/2018,"507,34"
14/05/2018,"507,26"
15/05/2018,"505,07"
16/05/2018,"508,94"
17/05/2018,"510,35"
18/05/2018,"507,12"
21/05/2018,"509,32"
22/05/2018,"508,14"
23/05/2018,"510,59"
24/05/2018,"509,88"
25/05/2018,"510,53"
29/05/2018,"509,62"
30/05/2018,"516,33"
31/05/2018,"508,01"
01/06/2018,"507,88"
04/06/2018,"512,06"
05/06/2018,"509,59"
06/06/2018,"510,31"
07/06/2018,"513,42"
08/06/2018,"520,11"
11/06/2018,"524,12"
12/06/2018,"525,07"
13/06/2018,"523,19"
14/06/2018,"523,2"
15/06/2018,"530,12"
18/06/2018,"522,29"
19/06/2018,525
20/06/2018,"525,57"
21/06/2018,"525,95"
22/06/2018,"530,4"
25/06/2018,"532,75"
26/06/2018,"530,37"
27/06/2018,"528,97"
28/06/2018,"529,85"
29/06/2018,"529,08"
02/07/2018,"526,29"
03/07/2018,"527,29"
05/07/2018,"534,97"
06/07/2018,"536,62"
09/07/2018,"534,07"
10/07/2018,"540,78"
11/07/2018,"538,92"
12/07/2018,"538,35"
13/07/2018,"541,73"
16/07/2018,"538,96"
17/07/2018,"543,17"
18/07/2018,"539,66"
19/07/2018,"538,98"
20/07/2018,"542,14"
23/07/2018,"539,29"
24/07/2018,"540,23"
25/07/2018,"543,77"
26/07/2018,"546,61"
27/07/2018,"547,5"
30/07/2018,"547,13"
31/07/2018,"549,6"
01/08/2018,"544,76"
02/08/2018,"550,67"
03/08/2018,"557,13"
06/08/2018,"557,46"
07/08/2018,"554,3"
08/08/2018,"550,02"
09/08/2018,"548,16"
10/08/2018,"546,42"
13/08/2018,"546,01"
14/08/2018,"549,51"
15/08/2018,"551,91"
16/08/2018,"560,31"
17/08/2018,"564,08"
20/08/2018,"563,93"
21/08/2018,"559,59"
22/08/2018,"556,09"
23/08/2018,"554,9"
24/08/2018,"553,97"
27/08/2018,"554,34"
28/08/2018,"552,56"
29/08/2018,"553,01"
30/08/2018,"551,43"
31/08/2018,"551,48"
04/09/2018,"550,25"
05/09/2018,"556,72"
06/09/2018,"557,96"
07/09/2018,"556,93"
10/09/2018,"558,89"
11/09/2018,"556,73"
12/09/2018,"563,72"
13/09/2018,"561,71"
14/09/2018,"560,42"
17/09/2018,"562,39"
18/09/2018,"559,93"
19/09/2018,"559,1"
20/09/2018,"565,6"
21/09/2018,"567,05"
24/09/2018,"558,54"
25/09/2018,"554,47"
26/09/2018,"554,78"
27/09/2018,"553,69"
28/09/2018,"554,91"
01/10/2018,"554,55"
02/10/2018,"557,97"
03/10/2018,"552,05"
04/10/2018,"550,83"
05/10/2018,"549,89"
08/10/2018,"557,28"
09/10/2018,"556,21"
10/10/2018,"549,13"
11/10/2018,"536,41"
12/10/2018,"539,23"
15/10/2018,"542,48"
16/10/2018,"548,18"
17/10/2018,"550,82"
18/10/2018,"549,54"
19/10/2018,"562,26"
22/10/2018,"557,95"
23/10/2018,"560,21"
24/10/2018,"562,98"
25/10/2018,"564,13"
26/10/2018,"554,62"
29/10/2018,"560,56"
30/10/2018,"571,61"
31/10/2018,"566,68"
01/11/2018,"569,41"
02/11/2018,"567,86"
05/11/2018,"574,73"
06/11/2018,"577,9"
07/11/2018,"581,12"
08/11/2018,"581,23"
09/11/2018,"584,21"
12/11/2018,"580,43"
13/11/2018,"578,31"
14/11/2018,"574,68"
15/11/2018,"572,77"
16/11/2018,"574,05"
19/11/2018,"572,94"
20/11/2018,"563,23"
21/11/2018,"558,54"
23/11/2018,"560,44"
26/11/2018,"560,66"
27/11/2018,"565,79"
28/11/2018,"571,36"
29/11/2018,"571,54"
30/11/2018,"576,42"
03/12/2018,"575,92"
04/12/2018,"566,51"
06/12/2018,"565,95"
07/12/2018,"558,64"
10/12/2018,"558,74"
11/12/2018,"563,47"
12/12/2018,"562,56"
13/12/2018,"566,43"
14/12/2018,"555,59"
17/12/2018,"542,9"
18/12/2018,"536,55"
19/12/2018,"530,92"
20/12/2018,"521,66"
21/12/2018,"515,96"
24/12/2018,"500,59"
26/12/2018,"514,82"
27/12/2018,"520,08"
28/12/2018,"519,79"
31/12/2018,"521,88"
02/01/2019,"519,68"
03/01/2019,"515,9"
04/01/2019,"526,98"
07/01/2019,"525,52"
08/01/2019,"530,59"
09/01/2019,"525,46"
10/01/2019,"528,66"
11/01/2019,"530,26"
14/01/2019,"527,67"
15/01/2019,"532,71"
16/01/2019,"529,85"
17/01/2019,"531,94"
18/01/2019,"538,36"
22/01/2019,"532,94"
23/01/2019,"539,17"
24/01/2019,"532,15"
25/01/2019,"530,87"
28/01/2019,"533,33"
29/01/2019,"534,21"
30/01/2019,"538,15"
31/01/2019,"547,94"
01/02/2019,"546,48"
04/02/2019,"549,8"
05/02/2019,"549,7"
06/02/2019,"550,05"
07/02/2019,"549,64"
08/02/2019,"552,62"
11/02/2019,"553,8"
12/02/2019,"558,65"
13/02/2019,"560,05"
14/02/2019,"553,24"
15/02/2019,"558,54"
19/02/2019,"561,32"
20/02/2019,"560,9"
21/02/2019,"562,47"
22/02/2019,"560,87"
25/02/2019,558
26/02/2019,"558,24"
27/02/2019,"557,75"
28/02/2019,"559,56"
01/03/2019,"558,61"
04/03/2019,"557,96"
05/03/2019,"557,73"
06/03/2019,"557,19"
07/03/2019,"554,07"
08/03/2019,"554,75"
11/03/2019,"562,12"
12/03/2019,"561,99"
13/03/2019,"565,93"
14/03/2019,"564,34"
15/03/2019,"567,16"
18/03/2019,"568,68"
19/03/2019,"567,99"
20/03/2019,"565,82"
