Fecha,Energy
23/03/2018,"493,31"
26/03/2018,"502,07"
27/03/2018,"497,67"
28/03/2018,"487,78"
29/03/2018,"498,29"
02/04/2018,"488,35"
03/04/2018,"498,79"
04/04/2018,"498,1"
05/04/2018,"507,14"
06/04/2018,"497,8"
09/04/2018,"500,13"
10/04/2018,"516,73"
11/04/2018,"522,11"
12/04/2018,"522,08"
13/04/2018,"527,75"
16/04/2018,"533,1"
17/04/2018,"535,23"
18/04/2018,"543,5"
19/04/2018,"544,26"
20/04/2018,"541,48"
23/04/2018,"544,78"
24/04/2018,"538,93"
25/04/2018,"543,32"
26/04/2018,"551,49"
27/04/2018,"544,78"
30/04/2018,"544,56"
01/05/2018,"541,54"
02/05/2018,"543,68"
03/05/2018,"542,41"
04/05/2018,"544,84"
07/05/2018,"545,84"
08/05/2018,"550,1"
09/05/2018,"561,29"
10/05/2018,"565,87"
11/05/2018,"565,28"
14/05/2018,"568,85"
15/05/2018,"568,92"
16/05/2018,"571,02"
17/05/2018,"578,51"
18/05/2018,"573,85"
21/05/2018,"579,4"
22/05/2018,"571,99"
23/05/2018,"571,98"
24/05/2018,"562,44"
25/05/2018,"547,77"
29/05/2018,"546,01"
30/05/2018,"563,01"
31/05/2018,"558,35"
01/06/2018,"561,37"
04/06/2018,"556,21"
05/06/2018,"554,3"
06/06/2018,"557,43"
07/06/2018,"566,26"
08/06/2018,"565,02"
11/06/2018,"567,05"
12/06/2018,"562,79"
13/06/2018,"560,5"
14/06/2018,"559,3"
15/06/2018,"547,51"
18/06/2018,"553,66"
19/06/2018,"552,17"
20/06/2018,"554,52"
21/06/2018,"543,84"
22/06/2018,"555,82"
25/06/2018,"543,6"
26/06/2018,"551,2"
27/06/2018,"558,58"
28/06/2018,"557,93"
29/06/2018,"561,54"
02/07/2018,"552,86"
03/07/2018,"556,84"
05/07/2018,"555,97"
06/07/2018,"559,67"
09/07/2018,"567,93"
10/07/2018,"572,13"
11/07/2018,"559,84"
12/07/2018,"560,96"
13/07/2018,"564,08"
16/07/2018,"557,42"
17/07/2018,"555,3"
18/07/2018,"555,47"
19/07/2018,"555,37"
20/07/2018,"553,41"
23/07/2018,"551,23"
24/07/2018,"558,48"
25/07/2018,"563,52"
26/07/2018,"569,12"
27/07/2018,"566,22"
30/07/2018,"570,98"
31/07/2018,"569,16"
01/08/2018,"561,58"
02/08/2018,"558,66"
03/08/2018,"556,06"
06/08/2018,"557,93"
07/08/2018,"561,93"
08/08/2018,"557,65"
09/08/2018,"552,7"
10/08/2018,"554,18"
13/08/2018,"547,44"
14/08/2018,"548,87"
15/08/2018,"529,59"
16/08/2018,"532,85"
17/08/2018,"534,27"
20/08/2018,"537,8"
21/08/2018,"540,46"
22/08/2018,"546,93"
23/08/2018,"544,07"
24/08/2018,"548,4"
27/08/2018,"552,44"
28/08/2018,"549,94"
29/08/2018,"553,39"
30/08/2018,"551,63"
31/08/2018,"547,58"
04/09/2018,"546,02"
05/09/2018,"545,58"
06/09/2018,"535,06"
07/09/2018,"534,93"
10/09/2018,"534,83"
11/09/2018,"540,06"
12/09/2018,"542,82"
13/09/2018,"542,83"
14/09/2018,"545,87"
17/09/2018,"546,77"
18/09/2018,"550,58"
19/09/2018,"552,68"
20/09/2018,"552,36"
21/09/2018,"556,34"
24/09/2018,"564,51"
25/09/2018,"567,74"
26/09/2018,"562,11"
27/09/2018,"562,37"
28/09/2018,"560,91"
01/10/2018,"569,13"
02/10/2018,"569,86"
03/10/2018,"574,55"
04/10/2018,"571,61"
05/10/2018,"571,36"
08/10/2018,"571,09"
09/10/2018,"576,72"
10/10/2018,"556,04"
11/10/2018,"538,87"
12/10/2018,"540,51"
15/10/2018,"536,08"
16/10/2018,"540,77"
17/10/2018,"537,01"
18/10/2018,"534,41"
19/10/2018,"530,02"
22/10/2018,"524,19"
23/10/2018,"510,17"
24/10/2018,"490,83"
25/10/2018,"496,47"
26/10/2018,"492,59"
29/10/2018,"483,31"
30/10/2018,"494,41"
31/10/2018,"497,37"
01/11/2018,"501,52"
02/11/2018,"500,99"
05/11/2018,"509,06"
06/11/2018,"510,77"
07/11/2018,519
08/11/2018,"507,56"
09/11/2018,"505,68"
12/11/2018,"494,86"
13/11/2018,"483,03"
14/11/2018,"482,52"
15/11/2018,"489,65"
16/11/2018,"495,03"
19/11/2018,"494,55"
20/11/2018,"478,27"
21/11/2018,"485,82"
23/11/2018,"469,96"
26/11/2018,"478,03"
27/11/2018,"476,45"
28/11/2018,"484,76"
29/11/2018,"487,6"
30/11/2018,"486,42"
03/12/2018,"497,52"
04/12/2018,"482,93"
06/12/2018,"474,39"
07/12/2018,"471,34"
10/12/2018,"463,72"
11/12/2018,"463,86"
12/12/2018,"465,37"
13/12/2018,"467,05"
14/12/2018,"455,93"
17/12/2018,"447,46"
18/12/2018,"436,96"
19/12/2018,"431,5"
20/12/2018,"419,45"
21/12/2018,"415,06"
24/12/2018,"398,39"
26/12/2018,"423,26"
27/12/2018,"425,97"
28/12/2018,"422,16"
31/12/2018,"424,07"
02/01/2019,"432,85"
03/01/2019,"428,07"
04/01/2019,"443,41"
07/01/2019,"449,14"
08/01/2019,"452,87"
09/01/2019,"459,67"
10/01/2019,"461,17"
11/01/2019,"458,28"
14/01/2019,"457,43"
15/01/2019,"458,8"
16/01/2019,"458,1"
17/01/2019,"462,58"
18/01/2019,"471,53"
22/01/2019,"461,15"
23/01/2019,"456,54"
24/01/2019,"459,26"
25/01/2019,"464,69"
28/01/2019,"459,9"
29/01/2019,"461,36"
30/01/2019,"467,49"
31/01/2019,"470,81"
01/02/2019,"479,44"
04/02/2019,"480,26"
05/02/2019,"481,05"
06/02/2019,"477,37"
07/02/2019,"467,21"
08/02/2019,"463,84"
11/02/2019,"465,97"
12/02/2019,"471,49"
13/02/2019,"477,57"
14/02/2019,"478,3"
15/02/2019,"485,89"
