Fecha,Financials
23/03/2018,"445,64"
26/03/2018,"460,1"
27/03/2018,"450,99"
28/03/2018,"451,72"
29/03/2018,"457,53"
02/04/2018,"447,8"
03/04/2018,454
04/04/2018,"459,01"
05/04/2018,"462,18"
06/04/2018,"450,91"
09/04/2018,"453,19"
10/04/2018,"460,25"
11/04/2018,"454,47"
12/04/2018,"462,76"
13/04/2018,"455,57"
16/04/2018,"457,72"
17/04/2018,"457,38"
18/04/2018,"455,69"
19/04/2018,"462,64"
20/04/2018,"462,86"
23/04/2018,"462,36"
24/04/2018,"459,21"
25/04/2018,"458,92"
26/04/2018,"459,1"
27/04/2018,"459,78"
30/04/2018,"455,35"
01/05/2018,"455,74"
02/05/2018,"450,3"
03/05/2018,"446,46"
04/05/2018,"452,01"
07/05/2018,"455,09"
08/05/2018,"458,15"
09/05/2018,"465,01"
10/05/2018,"468,64"
11/05/2018,"468,28"
14/05/2018,468
15/05/2018,"467,26"
16/05/2018,"467,72"
17/05/2018,"467,35"
18/05/2018,"463,09"
21/05/2018,"466,52"
22/05/2018,"469,29"
23/05/2018,"466,48"
24/05/2018,"463,17"
25/05/2018,"461,21"
29/05/2018,"445,67"
30/05/2018,"454,32"
31/05/2018,"450,24"
01/06/2018,"455,23"
04/06/2018,"456,53"
05/06/2018,"454,6"
06/06/2018,"462,98"
07/06/2018,"463,97"
08/06/2018,"465,17"
11/06/2018,"463,87"
12/06/2018,"462,33"
13/06/2018,"460,8"
14/06/2018,"456,5"
15/06/2018,"456,35"
18/06/2018,"456,02"
19/06/2018,"454,49"
20/06/2018,"453,08"
21/06/2018,"452,23"
22/06/2018,"449,85"
25/06/2018,"445,2"
26/06/2018,"443,56"
27/06/2018,"437,95"
28/06/2018,"441,71"
29/06/2018,"441,15"
02/07/2018,"444,07"
03/07/2018,"439,39"
05/07/2018,"440,41"
06/07/2018,"442,61"
09/07/2018,"452,89"
10/07/2018,"451,21"
11/07/2018,"448,87"
12/07/2018,"449,73"
13/07/2018,"447,65"
16/07/2018,"455,69"
17/07/2018,"456,39"
18/07/2018,"463,37"
19/07/2018,"456,69"
20/07/2018,"457,59"
23/07/2018,"463,64"
24/07/2018,"465,17"
25/07/2018,"466,36"
26/07/2018,"465,79"
27/07/2018,"466,93"
30/07/2018,"467,04"
31/07/2018,"463,85"
01/08/2018,"463,83"
02/08/2018,"464,02"
03/08/2018,"466,49"
06/08/2018,"468,48"
07/08/2018,"470,75"
08/08/2018,"471,96"
09/08/2018,"469,3"
10/08/2018,"463,85"
13/08/2018,"459,14"
14/08/2018,"463,08"
15/08/2018,"459,95"
16/08/2018,"465,69"
17/08/2018,"466,68"
20/08/2018,"468,32"
21/08/2018,"470,06"
22/08/2018,"468,82"
23/08/2018,"466,41"
24/08/2018,"467,79"
27/08/2018,"474,04"
28/08/2018,"473,55"
29/08/2018,"473,44"
30/08/2018,"469,72"
31/08/2018,"469,32"
04/09/2018,"471,81"
05/09/2018,"471,96"
06/09/2018,"469,17"
07/09/2018,"468,63"
10/09/2018,"468,26"
11/09/2018,"468,8"
12/09/2018,"464,61"
13/09/2018,"463,92"
14/09/2018,"466,98"
17/09/2018,"465,32"
18/09/2018,"467,25"
19/09/2018,"475,47"
20/09/2018,"479,29"
21/09/2018,"477,54"
24/09/2018,"472,47"
25/09/2018,"470,66"
26/09/2018,"464,66"
27/09/2018,"463,09"
28/09/2018,"458,18"
01/10/2018,"459,77"
02/10/2018,"459,98"
03/10/2018,"463,73"
04/10/2018,"467,01"
05/10/2018,"465,07"
08/10/2018,"467,76"
09/10/2018,"466,15"
10/10/2018,"451,98"
11/10/2018,"438,73"
12/10/2018,"439,16"
15/10/2018,"436,93"
16/10/2018,"443,91"
17/10/2018,"447,95"
18/10/2018,"440,99"
19/10/2018,"442,52"
22/10/2018,"433,41"
23/10/2018,"429,82"
24/10/2018,"418,25"
25/10/2018,"425,1"
26/10/2018,"419,35"
29/10/2018,"422,94"
30/10/2018,"429,71"
31/10/2018,"435,85"
01/11/2018,"437,83"
02/11/2018,"437,89"
05/11/2018,"444,04"
06/11/2018,"446,26"
07/11/2018,"452,25"
08/11/2018,"453,69"
09/11/2018,"449,32"
12/11/2018,"440,36"
13/11/2018,"442,96"
14/11/2018,"436,87"
15/11/2018,"443,17"
16/11/2018,"443,61"
19/11/2018,"443,46"
20/11/2018,"434,19"
21/11/2018,"434,47"
23/11/2018,"430,5"
26/11/2018,"439,53"
27/11/2018,"439,83"
28/11/2018,"447,82"
29/11/2018,"444,15"
30/11/2018,"447,08"
03/12/2018,"449,2"
04/12/2018,"429,42"
06/12/2018,"423,23"
07/12/2018,"415,43"
10/12/2018,"409,63"
11/12/2018,"405,46"
12/12/2018,"407,26"
13/12/2018,"404,86"
14/12/2018,"400,72"
17/12/2018,"396,81"
18/12/2018,"394,9"
19/12/2018,390
20/12/2018,"386,97"
21/12/2018,"379,4"
24/12/2018,"370,49"
26/12/2018,"387,71"
27/12/2018,392
28/12/2018,"392,06"
31/12/2018,"395,9"
02/01/2019,"398,82"
03/01/2019,"389,74"
04/01/2019,"402,54"
07/01/2019,"403,47"
08/01/2019,"403,47"
09/01/2019,"405,55"
10/01/2019,"406,03"
11/01/2019,"406,73"
14/01/2019,"409,68"
15/01/2019,"412,99"
16/01/2019,"422,09"
17/01/2019,"424,38"
18/01/2019,"431,64"
22/01/2019,"426,95"
23/01/2019,"427,1"
24/01/2019,"427,97"
25/01/2019,"431,63"
28/01/2019,"430,48"
29/01/2019,"429,2"
30/01/2019,"431,06"
31/01/2019,"429,9"
01/02/2019,"432,1"
04/02/2019,"433,72"
05/02/2019,"433,1"
06/02/2019,"431,92"
07/02/2019,"427,88"
08/02/2019,"425,53"
11/02/2019,"426,6"
12/02/2019,"433,26"
13/02/2019,"434,12"
14/02/2019,"429,09"
15/02/2019,"437,75"
19/02/2019,"438,59"
20/02/2019,"441,13"
