Fecha,Health_Care
23/03/2018,"922,73"
26/03/2018,"941,74"
27/03/2018,"930,93"
28/03/2018,"935,52"
29/03/2018,"940,73"
02/04/2018,"921,22"
03/04/2018,"935,19"
04/04/2018,"948,25"
05/04/2018,"947,65"
06/04/2018,"924,95"
09/04/2018,"933,59"
10/04/2018,"949,79"
11/04/2018,"941,6"
12/04/2018,"947,64"
13/04/2018,"946,91"
16/04/2018,"954,53"
17/04/2018,"962,38"
18/04/2018,"962,8"
19/04/2018,"955,01"
20/04/2018,"949,72"
23/04/2018,"953,6"
24/04/2018,"946,08"
25/04/2018,"950,37"
26/04/2018,"962,14"
27/04/2018,"966,38"
30/04/2018,"951,27"
01/05/2018,"951,54"
02/05/2018,"938,13"
03/05/2018,"929,95"
04/05/2018,"936,97"
07/05/2018,"935,96"
08/05/2018,"928,65"
09/05/2018,"934,33"
10/05/2018,"946,27"
11/05/2018,"960,18"
14/05/2018,"966,41"
15/05/2018,"953,9"
16/05/2018,"958,98"
17/05/2018,"959,17"
18/05/2018,"961,78"
21/05/2018,"962,87"
22/05/2018,"960,21"
23/05/2018,"963,43"
24/05/2018,"960,21"
25/05/2018,"958,6"
29/05/2018,"948,39"
30/05/2018,"961,44"
31/05/2018,"951,45"
01/06/2018,"962,68"
04/06/2018,"966,33"
05/06/2018,"964,88"
06/06/2018,"976,2"
07/06/2018,"975,49"
08/06/2018,"982,32"
11/06/2018,"983,31"
12/06/2018,"983,02"
13/06/2018,"982,76"
14/06/2018,"987,36"
15/06/2018,"989,86"
18/06/2018,"980,1"
19/06/2018,"982,47"
20/06/2018,"984,48"
21/06/2018,"979,24"
22/06/2018,"983,37"
25/06/2018,"974,48"
26/06/2018,"971,72"
27/06/2018,"962,74"
28/06/2018,"964,33"
29/06/2018,"965,78"
02/07/2018,"969,31"
03/07/2018,"971,33"
05/07/2018,"981,5"
06/07/2018,"995,69"
09/07/2018,"1002,19"
10/07/2018,"1006,33"
11/07/2018,"998,35"
12/07/2018,"1009,29"
13/07/2018,"1011,6"
16/07/2018,"1004,65"
17/07/2018,"1010,06"
18/07/2018,"1010,88"
19/07/2018,"1005,3"
20/07/2018,"1003,27"
23/07/2018,"1005,68"
24/07/2018,"1014,79"
25/07/2018,"1026,43"
26/07/2018,"1024,41"
27/07/2018,"1017,08"
30/07/2018,"1018,07"
31/07/2018,"1028,39"
01/08/2018,"1028,91"
02/08/2018,"1031,9"
03/08/2018,"1038,48"
06/08/2018,"1039,95"
07/08/2018,"1039,83"
08/08/2018,"1041,49"
09/08/2018,"1040,43"
10/08/2018,"1036,36"
