Fecha,Industrials
23/03/2018,"612,52"
26/03/2018,"626,62"
27/03/2018,"618,05"
28/03/2018,"615,66"
29/03/2018,"624,95"
02/04/2018,"612,04"
03/04/2018,"620,51"
04/04/2018,"623,15"
05/04/2018,"629,4"
06/04/2018,"612,2"
09/04/2018,"610,09"
10/04/2018,"619,44"
11/04/2018,"614,77"
12/04/2018,"623,67"
13/04/2018,"622,18"
16/04/2018,"628,39"
17/04/2018,"633,66"
18/04/2018,"640,12"
19/04/2018,"638,26"
20/04/2018,"635,52"
23/04/2018,"635,03"
24/04/2018,"617,14"
25/04/2018,"618,85"
26/04/2018,"616,23"
27/04/2018,"615,51"
30/04/2018,"607,17"
01/05/2018,"604,39"
02/05/2018,"599,01"
03/05/2018,"600,31"
04/05/2018,"607,15"
07/05/2018,"611,36"
08/05/2018,"615,75"
09/05/2018,"622,56"
10/05/2018,"626,41"
11/05/2018,"627,76"
14/05/2018,"626,54"
15/05/2018,"624,24"
16/05/2018,"626,56"
17/05/2018,"628,47"
18/05/2018,"631,92"
21/05/2018,"641,62"
22/05/2018,"633,61"
23/05/2018,"632,68"
24/05/2018,"636,47"
25/05/2018,"635,28"
29/05/2018,"624,9"
30/05/2018,"632,69"
31/05/2018,"623,49"
01/06/2018,"630,67"
04/06/2018,"629,84"
05/06/2018,"630,93"
06/06/2018,"636,59"
07/06/2018,"637,9"
08/06/2018,"640,62"
11/06/2018,"641,6"
12/06/2018,"641,14"
13/06/2018,"635,9"
14/06/2018,"633,36"
15/06/2018,"631,75"
18/06/2018,"629,34"
19/06/2018,"615,87"
20/06/2018,"615,98"
21/06/2018,"608,67"
22/06/2018,"610,32"
25/06/2018,"602,73"
26/06/2018,"604,7"
27/06/2018,"599,95"
28/06/2018,"600,89"
29/06/2018,"602,1"
02/07/2018,"603,27"
03/07/2018,"601,02"
05/07/2018,"604,07"
06/07/2018,"606,4"
09/07/2018,"617,36"
10/07/2018,"619,48"
11/07/2018,"609,47"
12/07/2018,"616,29"
13/07/2018,"619,95"
16/07/2018,"617,22"
17/07/2018,"619,56"
18/07/2018,"626,54"
19/07/2018,"626,09"
20/07/2018,"625,4"
23/07/2018,"621,54"
24/07/2018,"624,67"
25/07/2018,633
26/07/2018,"638,34"
27/07/2018,"638,34"
30/07/2018,"632,36"
31/07/2018,"645,78"
01/08/2018,"637,5"
02/08/2018,"636,44"
03/08/2018,"636,98"
06/08/2018,"637,76"
07/08/2018,"642,24"
08/08/2018,"639,6"
09/08/2018,"635,94"
10/08/2018,"630,79"
13/08/2018,"627,51"
14/08/2018,"631,62"
15/08/2018,"628,56"
16/08/2018,"635,85"
17/08/2018,"639,72"
20/08/2018,"643,8"
21/08/2018,"648,64"
22/08/2018,"642,6"
23/08/2018,"640,2"
24/08/2018,"642,92"
27/08/2018,"650,79"
28/08/2018,"650,04"
29/08/2018,"650,52"
30/08/2018,"645,49"
31/08/2018,"645,72"
04/09/2018,"645,69"
05/09/2018,"649,61"
06/09/2018,"651,75"
07/09/2018,"649,72"
10/09/2018,"653,19"
11/09/2018,"652,77"
12/09/2018,"655,18"
13/09/2018,"658,5"
14/09/2018,"661,9"
17/09/2018,"662,08"
18/09/2018,668
19/09/2018,"667,72"
20/09/2018,"668,47"
21/09/2018,"670,54"
24/09/2018,"661,72"
25/09/2018,"659,53"
26/09/2018,"658,56"
27/09/2018,"659,4"
28/09/2018,"659,07"
01/10/2018,"665,01"
02/10/2018,"666,27"
03/10/2018,"669,25"
04/10/2018,"667,32"
05/10/2018,"664,07"
08/10/2018,"665,32"
09/10/2018,"655,28"
10/10/2018,"632,51"
11/10/2018,"618,11"
12/10/2018,"621,5"
15/10/2018,"622,84"
16/10/2018,"633,18"
