Fecha,Information_Technology
23/03/2018,"1122,40"
26/03/2018,"1167,63"
27/03/2018,"1127,09"
28/03/2018,"1117,33"
29/03/2018,"1141,62"
02/04/2018,"1113,28"
03/04/2018,"1124,52"
04/04/2018,"1139,88"
05/04/2018,"1144,41"
06/04/2018,"1115,44"
09/04/2018,"1124,12"
10/04/2018,"1152,03"
11/04/2018,"1146,16"
12/04/2018,"1160,89"
13/04/2018,"1157,09"
16/04/2018,"1165,22"
17/04/2018,"1188,64"
18/04/2018,"1185,86"
19/04/2018,"1172,42"
20/04/2018,"1154,71"
23/04/2018,"1150,12"
24/04/2018,"1127,26"
25/04/2018,"1125,92"
26/04/2018,"1151,48"
27/04/2018,"1147,79"
30/04/2018,"1141,98"
01/05/2018,"1158,7"
02/05/2018,"1158,36"
03/05/2018,"1161,72"
04/05/2018,"1184,62"
07/05/2018,"1193,98"
08/05/2018,"1197,43"
09/05/2018,"1213,88"
10/05/2018,"1229,46"
11/05/2018,"1225,49"
14/05/2018,"1225,28"
15/05/2018,"1213,52"
16/05/2018,"1218,08"
17/05/2018,"1212,09"
18/05/2018,"1206,58"
21/05/2018,"1216,7"
22/05/2018,"1213,53"
23/05/2018,"1223,92"
24/05/2018,"1222,43"
25/05/2018,"1222,42"
29/05/2018,"1214,37"
30/05/2018,"1223,17"
31/05/2018,"1223,45"
01/06/2018,"1247,55"
04/06/2018,"1257,42"
05/06/2018,"1262,82"
06/06/2018,"1269,56"
07/06/2018,"1255,77"
08/06/2018,"1256,13"
11/06/2018,"1255,99"
12/06/2018,"1263,31"
13/06/2018,"1260,43"
14/06/2018,"1268,1"
15/06/2018,"1262,42"
18/06/2018,"1265,73"
19/06/2018,"1256,65"
20/06/2018,"1260,84"
21/06/2018,"1250,71"
22/06/2018,"1245,94"
25/06/2018,"1217,55"
26/06/2018,"1223,34"
27/06/2018,"1205,57"
28/06/2018,"1218,54"
29/06/2018,"1218,64"
02/07/2018,"1230,67"
03/07/2018,"1213,8"
05/07/2018,"1231,58"
06/07/2018,"1246,81"
09/07/2018,"1256,99"
10/07/2018,"1259,93"
11/07/2018,"1253,51"
12/07/2018,1276
13/07/2018,"1275,7"
16/07/2018,"1271,25"
17/07/2018,"1281,56"
18/07/2018,"1280,13"
19/07/2018,"1275,85"
20/07/2018,"1276,99"
