Fecha,Materials
23/03/2018,"351,03"
26/03/2018,"358,02"
27/03/2018,"354,48"
28/03/2018,"349,77"
29/03/2018,"356,34"
02/04/2018,"348,61"
03/04/2018,"353,65"
04/04/2018,"355,95"
05/04/2018,"362,6"
06/04/2018,"353,79"
09/04/2018,"355,62"
10/04/2018,"363,01"
11/04/2018,"360,17"
12/04/2018,"364,03"
13/04/2018,"363,65"
16/04/2018,"368,68"
17/04/2018,"372,82"
18/04/2018,"375,54"
19/04/2018,"371,51"
20/04/2018,"369,26"
23/04/2018,"368,15"
24/04/2018,"358,25"
25/04/2018,"360,17"
26/04/2018,"362,24"
27/04/2018,"361,4"
30/04/2018,"356,71"
01/05/2018,"356,67"
02/05/2018,"355,82"
03/05/2018,"357,04"
04/05/2018,"361,6"
07/05/2018,"361,71"
08/05/2018,"360,81"
09/05/2018,"365,9"
10/05/2018,"368,75"
11/05/2018,"368,61"
14/05/2018,"370,04"
15/05/2018,"368,96"
16/05/2018,"373,2"
17/05/2018,"373,98"
18/05/2018,"374,52"
21/05/2018,"376,6"
22/05/2018,"373,17"
23/05/2018,"372,49"
24/05/2018,"370,91"
25/05/2018,"369,02"
29/05/2018,"362,49"
30/05/2018,"366,39"
31/05/2018,"363,22"
01/06/2018,"368,82"
04/06/2018,"370,91"
05/06/2018,"373,73"
06/06/2018,"380,7"
07/06/2018,"378,65"
08/06/2018,"379,64"
11/06/2018,380
12/06/2018,"380,57"
13/06/2018,"376,45"
14/06/2018,"376,8"
15/06/2018,"374,44"
18/06/2018,"373,45"
19/06/2018,"366,67"
20/06/2018,"365,24"
21/06/2018,"361,61"
22/06/2018,"366,59"
25/06/2018,"361,24"
26/06/2018,"362,55"
27/06/2018,"361,23"
28/06/2018,"362,82"
29/06/2018,"363,65"
02/07/2018,"361,98"
03/07/2018,"360,8"
05/07/2018,"364,28"
06/07/2018,"366,01"
09/07/2018,"369,46"
10/07/2018,"372,55"
11/07/2018,"366,27"
12/07/2018,"367,07"
13/07/2018,"367,05"
16/07/2018,"364,13"
17/07/2018,"368,93"
18/07/2018,"368,99"
19/07/2018,"366,75"
20/07/2018,"365,25"
23/07/2018,"363,41"
24/07/2018,"368,12"
25/07/2018,"370,98"
26/07/2018,"373,23"
27/07/2018,"371,89"
30/07/2018,"371,05"
