Fecha,Real_Estate
23/03/2018,"186,12"
26/03/2018,"188,65"
27/03/2018,"188,92"
28/03/2018,"192,26"
29/03/2018,"192,05"
02/04/2018,"189,62"
03/04/2018,"190,22"
04/04/2018,"192,54"
05/04/2018,"192,65"
06/04/2018,"190,83"
09/04/2018,"190,7"
10/04/2018,"189,34"
11/04/2018,"189,72"
12/04/2018,"187,54"
13/04/2018,"188,51"
16/04/2018,"189,3"
17/04/2018,"191,82"
18/04/2018,"191,41"
19/04/2018,"188,21"
20/04/2018,"186,55"
23/04/2018,"186,85"
24/04/2018,"187,14"
25/04/2018,"186,5"
26/04/2018,"188,83"
27/04/2018,"191,32"
30/04/2018,"190,59"
01/05/2018,"191,89"
02/05/2018,"191,26"
03/05/2018,"191,09"
04/05/2018,"193,15"
07/05/2018,"193,39"
08/05/2018,"192,07"
09/05/2018,"193,47"
10/05/2018,"195,33"
11/05/2018,"194,38"
14/05/2018,"192,98"
15/05/2018,"189,76"
16/05/2018,"188,93"
17/05/2018,"187,97"
18/05/2018,"188,15"
21/05/2018,"190,07"
22/05/2018,"190,27"
23/05/2018,"191,82"
24/05/2018,"191,06"
25/05/2018,"191,92"
29/05/2018,"192,4"
30/05/2018,"195,04"
31/05/2018,"194,35"
01/06/2018,"195,13"
04/06/2018,"197,03"
05/06/2018,"196,09"
06/06/2018,"196,71"
07/06/2018,"196,46"
08/06/2018,"197,36"
11/06/2018,"197,11"
12/06/2018,"198,25"
13/06/2018,"193,65"
14/06/2018,"195,27"
15/06/2018,195
18/06/2018,"194,69"
19/06/2018,"194,87"
20/06/2018,197
21/06/2018,"198,23"
22/06/2018,"199,79"
25/06/2018,"199,43"
26/06/2018,"200,44"
27/06/2018,"199,87"
28/06/2018,"201,58"
29/06/2018,"201,9"
02/07/2018,"200,9"
03/07/2018,"201,86"
05/07/2018,"204,6"
06/07/2018,"205,44"
09/07/2018,"203,56"
10/07/2018,"204,54"
11/07/2018,"203,87"
12/07/2018,"204,28"
13/07/2018,"203,72"
16/07/2018,"202,52"
17/07/2018,"201,24"
18/07/2018,"200,38"
19/07/2018,"202,41"
20/07/2018,"200,55"
23/07/2018,"200,08"
24/07/2018,"199,46"
25/07/2018,"201,37"
26/07/2018,"202,11"
27/07/2018,"200,24"
30/07/2018,"200,13"
31/07/2018,"203,92"
01/08/2018,"205,34"
02/08/2018,"204,26"
03/08/2018,"206,87"
06/08/2018,"206,38"
07/08/2018,"205,93"
08/08/2018,"204,83"
09/08/2018,"205,11"
10/08/2018,"203,05"
13/08/2018,"203,04"
14/08/2018,"203,77"
15/08/2018,"205,49"
16/08/2018,"206,95"
17/08/2018,"208,94"
20/08/2018,"209,06"
21/08/2018,"207,15"
22/08/2018,"205,81"
23/08/2018,"205,38"
24/08/2018,"206,69"
27/08/2018,"206,52"
28/08/2018,"208,98"
29/08/2018,"208,76"
30/08/2018,"207,59"
31/08/2018,"208,46"
04/09/2018,"206,58"
05/09/2018,"207,78"
06/09/2018,"208,48"
07/09/2018,"205,9"
10/09/2018,"207,01"
11/09/2018,"206,86"
12/09/2018,"207,13"
13/09/2018,"208,11"
14/09/2018,"206,22"
17/09/2018,"207,24"
18/09/2018,"206,01"
19/09/2018,"204,13"
20/09/2018,"205,68"
21/09/2018,"205,41"
24/09/2018,"201,52"
25/09/2018,"201,31"
26/09/2018,"198,99"
27/09/2018,"199,25"
28/09/2018,"201,86"
01/10/2018,"200,14"
02/10/2018,"199,58"
03/10/2018,"197,62"
04/10/2018,"196,4"
05/10/2018,"196,35"
08/10/2018,"198,94"
09/10/2018,"199,69"
10/10/2018,"196,48"
11/10/2018,"190,77"
12/10/2018,"190,64"
15/10/2018,"191,62"
16/10/2018,"195,28"
17/10/2018,"194,82"
18/10/2018,"194,83"
19/10/2018,"196,77"
22/10/2018,"193,99"
23/10/2018,"195,33"
24/10/2018,"197,54"
25/10/2018,"199,94"
26/10/2018,"194,76"
29/10/2018,"197,8"
30/10/2018,"201,11"
31/10/2018,"198,36"
01/11/2018,"199,27"
02/11/2018,"197,42"
05/11/2018,"200,76"
06/11/2018,"201,8"
07/11/2018,"204,11"
08/11/2018,"204,34"
09/11/2018,"204,62"
12/11/2018,"205,02"
13/11/2018,"205,31"
14/11/2018,"205,39"
15/11/2018,"203,55"
16/11/2018,"206,31"
19/11/2018,"207,05"
20/11/2018,"204,26"
21/11/2018,"203,99"
23/11/2018,"203,3"
26/11/2018,"203,72"
27/11/2018,"204,86"
28/11/2018,"206,65"
29/11/2018,"206,81"
30/11/2018,"208,88"
03/12/2018,"209,64"
04/12/2018,207
06/12/2018,"212,51"
07/12/2018,"209,45"
10/12/2018,"208,56"
11/12/2018,"208,79"
12/12/2018,"204,83"
13/12/2018,"206,08"
14/12/2018,"205,65"
17/12/2018,198
18/12/2018,"199,88"
19/12/2018,"198,05"
20/12/2018,"195,65"
21/12/2018,"192,56"
24/12/2018,"185,39"
26/12/2018,"191,43"
27/12/2018,"191,88"
28/12/2018,"192,3"
31/12/2018,"192,36"
02/01/2019,"187,97"
03/01/2019,"188,9"
04/01/2019,"190,84"
07/01/2019,"192,34"
08/01/2019,"195,77"
09/01/2019,"194,93"
10/01/2019,"197,95"
11/01/2019,"198,42"
14/01/2019,"197,82"
15/01/2019,"199,92"
16/01/2019,"201,02"
17/01/2019,"201,96"
18/01/2019,"202,59"
22/01/2019,"202,27"
23/01/2019,"202,46"
24/01/2019,"203,24"
25/01/2019,"205,63"
28/01/2019,"207,6"
29/01/2019,"209,24"
30/01/2019,"210,98"
31/01/2019,"212,98"
01/02/2019,"211,56"
04/02/2019,"212,94"
05/02/2019,"214,22"
06/02/2019,"212,59"
07/02/2019,"214,29"
08/02/2019,"214,5"
11/02/2019,"214,98"
12/02/2019,"213,47"
13/02/2019,"214,71"
14/02/2019,"215,67"
15/02/2019,"216,78"
19/02/2019,"217,01"
20/02/2019,"215,57"
21/02/2019,"215,87"
22/02/2019,"217,15"
25/02/2019,"215,39"
26/02/2019,"214,92"
27/02/2019,"214,09"
28/02/2019,"214,74"
01/03/2019,"214,47"
04/03/2019,"215,35"
05/03/2019,"215,91"
06/03/2019,"215,35"
07/03/2019,"215,19"
08/03/2019,"215,45"
11/03/2019,"218,76"
12/03/2019,"219,79"
13/03/2019,"220,88"
14/03/2019,"220,97"
15/03/2019,"220,13"
18/03/2019,"219,01"
19/03/2019,"218,37"
20/03/2019,"219,3"
21/03/2019,"223,22"
22/03/2019,"222,16"
25/03/2019,"222,29"
26/03/2019,"223,78"
27/03/2019,223
28/03/2019,"224,6"
29/03/2019,"224,36"
01/04/2019,"223,73"
02/04/2019,"225,65"
03/04/2019,"225,41"
04/04/2019,"224,76"
05/04/2019,"226,47"
08/04/2019,"225,33"
09/04/2019,"224,62"
10/04/2019,"226,26"
11/04/2019,"225,94"
12/04/2019,"227,15"
15/04/2019,"225,79"
16/04/2019,"220,41"
17/04/2019,"218,22"
18/04/2019,"219,86"
22/04/2019,"217,56"
23/04/2019,"219,99"
24/04/2019,"221,69"
25/04/2019,"221,3"
26/04/2019,"222,81"
29/04/2019,"220,45"
30/04/2019,"223,07"
01/05/2019,"223,16"
02/05/2019,"223,49"
03/05/2019,"224,97"
06/05/2019,"224,01"
07/05/2019,"220,03"
08/05/2019,"220,13"
09/05/2019,"220,85"
10/05/2019,"223,35"
13/05/2019,"223,35"
14/05/2019,"224,14"
15/05/2019,"225,58"
16/05/2019,"226,77"
17/05/2019,"226,39"
20/05/2019,"222,72"
21/05/2019,"224,59"
22/05/2019,"225,51"
23/05/2019,"226,66"
24/05/2019,227
28/05/2019,"224,51"
29/05/2019,"221,91"
30/05/2019,"223,35"
31/05/2019,"225,08"
03/06/2019,"226,07"
04/06/2019,"224,81"
05/06/2019,"230,04"
06/06/2019,"230,38"
07/06/2019,"230,98"
10/06/2019,"230,28"
11/06/2019,"230,69"
12/06/2019,"231,29"
13/06/2019,"231,49"
14/06/2019,"232,25"
17/06/2019,"234,86"
18/06/2019,"234,07"
19/06/2019,"235,66"
20/06/2019,"236,91"
21/06/2019,"234,31"
24/06/2019,"233,24"
25/06/2019,"230,09"
26/06/2019,"225,59"
27/06/2019,"227,23"
28/06/2019,"227,91"
01/07/2019,"227,26"
02/07/2019,"231,39"
03/07/2019,"234,79"
05/07/2019,"233,46"
08/07/2019,"234,33"
09/07/2019,"235,56"
10/07/2019,"236,79"
11/07/2019,"233,92"
12/07/2019,233
15/07/2019,"233,29"
16/07/2019,"232,86"
17/07/2019,"231,92"
18/07/2019,"231,58"
19/07/2019,"227,67"
22/07/2019,"227,57"
23/07/2019,"229,88"
24/07/2019,"229,71"
25/07/2019,"228,6"
26/07/2019,"229,35"
29/07/2019,"230,41"
30/07/2019,"232,46"
31/07/2019,"231,76"
01/08/2019,"232,28"
02/08/2019,"234,05"
05/08/2019,"229,48"
06/08/2019,"232,18"
07/08/2019,"234,35"
08/08/2019,"238,02"
09/08/2019,"238,18"
12/08/2019,"237,79"
13/08/2019,"237,98"
14/08/2019,"234,23"
15/08/2019,"237,36"
16/08/2019,"238,85"
19/08/2019,241
20/08/2019,"239,05"
21/08/2019,"240,24"
22/08/2019,"241,27"
23/08/2019,"238,16"
26/08/2019,"240,59"
27/08/2019,"239,65"
28/08/2019,"240,46"
29/08/2019,"242,22"
30/08/2019,"242,44"
03/09/2019,"245,61"
04/09/2019,"247,69"
05/09/2019,"245,36"
06/09/2019,"245,89"
09/09/2019,"243,75"
10/09/2019,"240,42"
11/09/2019,"239,66"
12/09/2019,241
13/09/2019,"237,93"
16/09/2019,"240,35"
17/09/2019,"243,71"
18/09/2019,"242,95"
19/09/2019,"243,62"
20/09/2019,"242,82"
23/09/2019,"243,39"
