Fecha,Utilities
23/03/2018,"248,78"
26/03/2018,"251,37"
27/03/2018,"255,04"
28/03/2018,"254,82"
29/03/2018,"256,14"
02/04/2018,"254,21"
03/04/2018,"255,09"
04/04/2018,"255,63"
05/04/2018,"257,65"
06/04/2018,"255,82"
09/04/2018,"256,12"
10/04/2018,"254,27"
11/04/2018,"253,88"
12/04/2018,"250,64"
13/04/2018,"252,37"
16/04/2018,"255,85"
17/04/2018,"258,53"
18/04/2018,"257,52"
19/04/2018,"257,31"
20/04/2018,"255,02"
23/04/2018,"255,26"
24/04/2018,"256,91"
25/04/2018,"256,99"
26/04/2018,"259,64"
27/04/2018,"262,13"
30/04/2018,"261,39"
01/05/2018,"260,66"
02/05/2018,"260,31"
03/05/2018,"260,03"
04/05/2018,"261,04"
07/05/2018,"259,64"
08/05/2018,"253,12"
09/05/2018,"251,23"
10/05/2018,"254,59"
11/05/2018,"255,11"
14/05/2018,254
15/05/2018,"251,76"
16/05/2018,"249,59"
17/05/2018,"247,35"
18/05/2018,"247,02"
21/05/2018,"248,47"
22/05/2018,"249,44"
23/05/2018,"251,68"
24/05/2018,"253,57"
25/05/2018,"254,63"
29/05/2018,"254,74"
30/05/2018,"256,69"
31/05/2018,"256,98"
01/06/2018,"253,02"
04/06/2018,"250,88"
05/06/2018,"249,25"
06/06/2018,"243,95"
07/06/2018,"245,01"
08/06/2018,"244,98"
11/06/2018,"244,16"
12/06/2018,"247,3"
13/06/2018,"246,63"
14/06/2018,"249,52"
15/06/2018,"251,23"
18/06/2018,"252,11"
19/06/2018,"254,78"
20/06/2018,"254,78"
21/06/2018,"255,63"
22/06/2018,"257,51"
25/06/2018,"261,76"
26/06/2018,"261,73"
27/06/2018,"263,26"
28/06/2018,"263,22"
29/06/2018,"263,3"
02/07/2018,"265,39"
03/07/2018,"266,06"
05/07/2018,"267,74"
06/07/2018,"269,71"
09/07/2018,"261,28"
10/07/2018,"263,83"
11/07/2018,"266,12"
12/07/2018,"266,35"
13/07/2018,"266,51"
16/07/2018,"266,11"
17/07/2018,"265,94"
18/07/2018,"264,61"
19/07/2018,"267,08"
20/07/2018,"265,06"
23/07/2018,"263,37"
24/07/2018,"264,26"
25/07/2018,"264,96"
26/07/2018,"267,99"
27/07/2018,"266,89"
30/07/2018,"265,29"
31/07/2018,"268,11"
01/08/2018,"265,88"
02/08/2018,"267,29"
03/08/2018,"270,05"
06/08/2018,"270,39"
07/08/2018,"269,8"
08/08/2018,"268,35"
09/08/2018,"269,44"
10/08/2018,"268,35"
13/08/2018,"268,59"
14/08/2018,"269,04"
15/08/2018,"271,09"
16/08/2018,"274,12"
17/08/2018,"275,17"
20/08/2018,"274,22"
21/08/2018,"272,25"
22/08/2018,"270,14"
23/08/2018,"270,1"
24/08/2018,"271,28"
27/08/2018,"269,55"
28/08/2018,"268,98"
29/08/2018,"270,56"
30/08/2018,"270,91"
31/08/2018,"269,7"
04/09/2018,"271,17"
05/09/2018,"274,62"
06/09/2018,"275,68"
07/09/2018,"272,37"
10/09/2018,"273,96"
11/09/2018,"273,01"
12/09/2018,"272,77"
13/09/2018,"274,87"
14/09/2018,"273,39"
17/09/2018,"274,22"
18/09/2018,"273,64"
19/09/2018,"267,83"
20/09/2018,"268,15"
21/09/2018,"269,2"
24/09/2018,"266,82"
25/09/2018,"263,56"
26/09/2018,"260,81"
27/09/2018,"263,31"
28/09/2018,"267,28"
01/10/2018,"266,47"
02/10/2018,"269,9"
03/10/2018,"266,59"
04/10/2018,"268,04"
05/10/2018,"272,24"
08/10/2018,"274,34"
09/10/2018,"275,5"
10/10/2018,"274,03"
11/10/2018,"268,63"
12/10/2018,"268,8"
15/10/2018,"269,75"
16/10/2018,"272,89"
17/10/2018,"272,47"
18/10/2018,"272,69"
19/10/2018,"276,99"
22/10/2018,"275,1"
23/10/2018,"273,68"
24/10/2018,"279,97"
25/10/2018,"275,78"
26/10/2018,"271,09"
29/10/2018,"274,75"
30/10/2018,"275,55"
31/10/2018,"272,38"
01/11/2018,"270,94"
02/11/2018,"269,55"
05/11/2018,"273,31"
06/11/2018,"275,4"
07/11/2018,"278,38"
08/11/2018,"277,64"
09/11/2018,"277,9"
12/11/2018,"277,81"
13/11/2018,"278,77"
14/11/2018,"275,62"
15/11/2018,"273,5"
16/11/2018,"277,07"
19/11/2018,"278,5"
20/11/2018,"277,09"
21/11/2018,273
23/11/2018,"273,34"
26/11/2018,"274,81"
27/11/2018,"277,21"
28/11/2018,"276,87"
29/11/2018,"276,46"
30/11/2018,"280,71"
03/12/2018,"283,19"
04/12/2018,"283,61"
06/12/2018,"283,32"
07/12/2018,"284,46"
10/12/2018,"285,32"
11/12/2018,"286,17"
12/12/2018,"284,51"
